time,thrust
0.001,2.282812
0.002,15.218749
0.003,23.589062
0.004,21.306248
0.005,22.828123
0.006,28.154686
0.007,41.851559
0.008,39.568748
0.009,31.959373
0.01,34.242184
0.011,40.329685
0.012,37.285934
0.013,14.457811
0.014,0.760937
0.015,30.437498
0.016,15.218749
0.017,31.198435
0.018,14.457811
0.019,21.306248
0.02,25.871874
0.021,44.134373
0.022,84.464058
0.023,117.945305
0.024,124.032806
0.025,165.884369
0.026,203.170303
0.027,198.604675
0.028,200.126556
0.029,189.473419
0.03,180.342178
0.031,180.342178
0.032,203.931244
0.033,234.368729
0.034,263.284363
0.035,270.132782
0.036,368.293732
0.037,402.535919
0.038,471.020294
0.039,505.262482
0.04,548.635925
0.041,537.221863
0.042,515.154663
0.043,523.524963
0.044,579.073425
0.045,616.359314
0.046,652.884338
0.047,676.473389
0.048,725.173401
0.049,755.610901
0.05,761.698364
0.051,706.149963
0.052,611.032776
0.053,580.595276
0.054,594.292175
0.055,656.689026
0.056,700.823364
0.057,741.153076
0.058,738.109314
0.059,695.496826
0.06,590.487488
0.061,519.720276
0.062,503.740601
0.063,593.531189
0.064,692.453064
0.065,744.957764
0.066,709.954651
0.067,720.607788
0.068,818.768677
0.069,882.687439
0.07,855.293701
0.071,773.873413
0.072,790.614014
0.073,779.960876
0.074,856.815552
0.075,815.724976
0.076,786.809326
0.077,623.207764
0.078,379.707794
0.079,289.156219
0.08,241.217178
0.081,343.1828
0.082,443.626526
0.083,576.790588
0.084,636.143738
0.085,704.628052
0.086,683.321838
0.087,706.149963
0.088,574.507751
0.089,581.356201
0.09,563.093689
0.091,523.524963
0.092,498.414032
0.093,481.673401
0.094,502.979645
0.095,400.253113
0.096,397.970276
0.097,422.320282
0.098,499.935913
0.099,521.242126
0.1,538.743713
0.101,575.268738
0.102,543.309326
0.103,592.770264
0.104,614.076538
0.105,546.353088
0.106,439.821838
0.107,397.970276
0.108,404.0578
0.109,404.0578
0.11,442.865601
0.111,480.15152
0.112,529.612488
0.113,531.895264
0.114,506.784332
0.115,506.784332
0.116,480.15152
0.117,476.346832
0.118,520.481201
0.119,509.067169
0.12,475.585907
0.121,444.387482
0.122,426.124969
0.123,381.990601
0.124,340.899963
0.125,375.142151
0.126,366.010925
0.127,405.579651
0.128,461.889038
0.129,518.198425
0.13,515.915588
0.131,514.393738
0.132,502.218719
0.133,483.195282
0.134,401.014038
0.135,377.424988
0.136,388.83905
0.137,429.929657
0.138,448.953094
0.139,500.696838
0.14,486.239044
0.141,471.020294
0.142,432.973419
0.143,445.148407
0.144,392.643738
0.145,391.882782
0.146,414.710907
0.147,430.690613
0.148,412.428101
0.149,440.582794
0.15,472.542145
0.151,474.824982
0.152,447.431213
0.153,477.868713
0.154,486.239044
0.155,475.585907
0.156,474.064026
0.157,464.171844
0.158,462.649963
0.159,402.535919
0.16,391.121857
0.161,361.445282
0.162,351.553101
0.163,364.489044
0.164,418.515594
0.165,425.364044
0.166,474.824982
0.167,502.979645
0.168,502.218719
0.169,485.478088
0.17,471.781219
0.171,467.976532
0.172,444.387482
0.173,443.626526
0.174,472.542145
0.175,465.693726
0.176,447.431213
0.177,462.649963
0.178,448.953094
0.179,406.340607
0.18,407.101532
0.181,451.235901
0.182,445.148407
0.183,457.323395
0.184,471.020294
0.185,491.565582
0.186,507.545288
0.187,490.043732
0.188,486.999969
0.189,463.410919
0.19,448.953094
0.191,465.693726
0.192,464.93277
0.193,470.259338
0.194,448.953094
0.195,448.192169
0.196,460.367157
0.197,421.559357
0.198,420.798401
0.199,409.384338
0.2,418.515594
0.201,441.343719
0.202,474.824982
0.203,464.171844
0.204,462.649963
0.205,455.040588
0.206,438.299988
0.207,429.929657
0.208,394.926544
0.209,401.014038
0.21,404.818726
0.211,437.539032
0.212,461.889038
0.213,461.889038
0.214,486.239044
0.215,495.37027
0.216,557.006226
0.217,568.420288
0.218,558.528076
0.219,515.154663
0.22,472.542145
0.221,452.757782
0.222,426.885925
0.223,452.757782
0.224,494.609344
0.225,487.760895
0.226,415.471863
0.227,346.226532
0.228,357.640594
0.229,313.506226
0.23,406.340607
0.231,462.649963
0.232,483.195282
0.233,483.195282
0.234,436.778107
0.235,376.664032
0.236,391.882782
0.237,432.212463
0.238,438.299988
0.239,437.539032
0.24,416.232788
0.241,429.168732
0.242,434.4953
0.243,435.256226
0.244,424.603088
0.245,417.754669
0.246,388.078094
0.247,401.014038
0.248,432.973419
0.249,436.017151
0.25,425.364044
0.251,411.667175
0.252,376.664032
0.253,346.226532
0.254,341.660919
0.255,363.728088
0.256,414.710907
0.257,440.582794
0.258,461.128082
0.259,464.171844
0.26,455.801544
0.261,476.346832
0.262,442.865601
0.263,418.515594
0.264,410.145294
0.265,438.299988
0.266,443.626526
0.267,470.259338
0.268,467.215607
0.269,451.235901
0.27,423.842163
0.271,407.101532
0.272,396.448425
0.273,396.448425
0.274,379.707794
0.275,430.690613
0.276,428.407776
0.277,404.818726
0.278,421.559357
0.279,460.367157
0.28,476.346832
0.281,471.020294
0.282,473.303101
0.283,427.646851
0.284,419.27655
0.285,388.078094
0.286,387.317169
0.287,395.687469
0.288,357.640594
0.289,375.903107
0.29,397.970276
0.291,414.710907
0.292,430.690613
0.293,423.842163
0.294,455.801544
0.295,439.821838
0.296,445.148407
0.297,436.017151
0.298,413.949982
0.299,388.83905
0.3,378.185913
0.301,356.118713
0.302,337.856232
0.303,376.664032
0.304,377.424988
0.305,399.492157
0.306,423.081238
0.307,413.949982
0.308,432.973419
0.309,423.842163
0.31,394.165588
0.311,378.185913
0.312,381.229675
0.313,362.206238
0.314,375.142151
0.315,384.273407
0.316,375.903107
0.317,359.162476
0.318,389.599976
0.319,417.754669
0.32,421.559357
0.321,426.124969
0.322,430.690613
0.323,397.970276
0.324,384.273407
0.325,342.421844
0.326,350.031219
0.327,346.226532
0.328,346.226532
0.329,362.967163
0.33,418.515594
0.331,463.410919
0.332,465.693726
0.333,464.93277
0.334,468.737457
0.335,429.168732
0.336,400.253113
0.337,389.599976
0.338,358.40155
0.339,362.206238
0.34,345.465607
0.341,327.96405
0.342,351.553101
0.343,377.424988
0.344,418.515594
0.345,428.407776
0.346,461.889038
0.347,447.431213
0.348,432.212463
0.349,408.623413
0.35,370.576538
0.351,348.509338
0.352,341.660919
0.353,361.445282
0.354,375.142151
0.355,379.707794
0.356,419.27655
0.357,436.778107
0.358,438.299988
0.359,408.623413
0.36,407.862488
0.361,381.990601
0.362,381.229675
0.363,376.664032
0.364,358.40155
0.365,354.596863
0.366,346.987488
0.367,372.859344
0.368,396.448425
0.369,405.579651
0.37,391.121857
0.371,416.232788
0.372,432.212463
0.373,419.27655
0.374,416.232788
0.375,406.340607
0.376,401.014038
0.377,375.142151
0.378,391.882782
0.379,388.078094
0.38,404.818726
0.381,409.384338
0.382,397.970276
0.383,404.0578
0.384,407.101532
0.385,420.798401
0.386,386.556213
0.387,367.532776
0.388,367.532776
0.389,353.835907
0.39,357.640594
0.391,363.728088
0.392,403.296844
0.393,411.667175
0.394,415.471863
0.395,411.667175
0.396,401.014038
0.397,398.731232
0.398,374.381226
0.399,375.903107
0.4,345.465607
0.401,322.637482
0.402,352.314026
0.403,350.792175
0.404,371.337463
0.405,384.273407
0.406,424.603088
0.407,444.387482
0.408,419.27655
0.409,411.667175
0.41,378.946838
0.411,363.728088
0.412,340.899963
0.413,327.203094
0.414,322.637482
0.415,315.789032
0.416,329.485931
0.417,362.206238
0.418,399.492157
0.419,407.862488
0.42,416.232788
0.421,423.842163
0.422,404.0578
0.423,370.576538
0.424,356.879669
0.425,344.704651
0.426,340.139038
0.427,344.704651
0.428,329.485931
0.429,351.553101
0.43,375.903107
0.431,397.209351
0.432,423.081238
0.433,455.040588
0.434,434.4953
0.435,429.168732
0.436,423.842163
0.437,423.842163
0.438,395.687469
0.439,363.728088
0.44,353.074982
0.441,337.095306
0.442,363.728088
0.443,391.121857
0.444,441.343719
0.445,455.801544
0.446,461.128082
0.447,475.585907
0.448,465.693726
0.449,435.256226
0.45,397.209351
0.451,380.468719
0.452,350.031219
0.453,344.704651
0.454,339.378113
0.455,361.445282
0.456,375.903107
0.457,413.949982
0.458,423.842163
0.459,462.649963
0.46,449.71402
0.461,459.606232
0.462,453.518707
0.463,416.993713
0.464,410.906219
0.465,385.034363
0.466,360.684357
0.467,338.617157
0.468,336.334351
0.469,345.465607
0.47,331.007782
0.471,358.40155
0.472,394.165588
0.473,426.885925
0.474,431.451538
0.475,425.364044
0.476,407.862488
0.477,385.034363
0.478,388.83905
0.479,346.226532
0.48,327.203094
0.481,321.876556
0.482,330.246857
0.483,321.876556
0.484,356.118713
0.485,365.249969
0.486,393.404663
0.487,386.556213
0.488,392.643738
0.489,407.862488
0.49,389.599976
0.491,381.990601
0.492,346.226532
0.493,329.485931
0.494,309.701538
0.495,302.853119
0.496,322.637482
0.497,322.637482
0.498,358.40155
0.499,367.532776
0.5,397.970276
0.501,388.83905
0.502,382.751526
0.503,369.815613
0.504,358.40155
0.505,363.728088
0.506,345.465607
0.507,352.314026
0.508,340.139038
0.509,343.1828
0.51,323.398407
0.511,346.987488
0.512,342.421844
0.513,388.078094
0.514,396.448425
0.515,392.643738
0.516,392.643738
0.517,381.990601
0.518,362.206238
0.519,365.249969
0.52,372.098419
0.521,366.771851
0.522,349.270294
0.523,339.378113
0.524,343.1828
0.525,356.118713
0.526,372.859344
0.527,397.970276
0.528,370.576538
0.529,390.360901
0.53,386.556213
0.531,399.492157
0.532,401.014038
0.533,377.424988
0.534,349.270294
0.535,355.357788
0.536,350.031219
0.537,355.357788
0.538,343.1828
0.539,353.835907
0.54,349.270294
0.541,349.270294
0.542,353.835907
0.543,343.1828
0.544,364.489044
0.545,365.249969
0.546,367.532776
0.547,356.118713
0.548,379.707794
0.549,355.357788
0.55,365.249969
0.551,360.684357
0.552,340.899963
0.553,332.529663
0.554,335.573425
0.555,353.835907
0.556,354.596863
0.557,353.835907
0.558,363.728088
0.559,329.485931
0.56,346.226532
0.561,354.596863
0.562,362.206238
0.563,358.40155
0.564,360.684357
0.565,337.095306
0.566,362.206238
0.567,349.270294
0.568,356.879669
0.569,347.748413
0.57,343.1828
0.571,324.159363
0.572,340.899963
0.573,343.1828
0.574,350.792175
0.575,355.357788
0.576,375.142151
0.577,411.667175
0.578,410.906219
0.579,433.734344
0.58,426.124969
0.581,404.818726
0.582,371.337463
0.583,353.074982
0.584,358.40155
0.585,312.7453
0.586,318.832794
0.587,313.506226
0.588,337.856232
0.589,335.573425
0.59,360.684357
0.591,399.492157
0.592,416.232788
0.593,418.515594
0.594,394.165588
0.595,410.145294
0.596,379.707794
0.597,375.903107
0.598,335.573425
0.599,335.573425
0.6,329.485931
0.601,316.549988
0.602,327.203094
0.603,356.118713
0.604,404.818726
0.605,420.798401
0.606,425.364044
0.607,433.734344
0.608,437.539032
0.609,396.448425
0.61,372.098419
0.611,341.660919
0.612,296.765594
0.613,279.264038
0.614,298.287476
0.615,274.698425
0.616,305.135925
0.617,319.593719
0.618,397.209351
0.619,419.27655
0.62,442.865601
0.621,443.626526
0.622,470.259338
0.623,426.885925
0.624,374.381226
0.625,333.290619
0.626,311.984344
0.627,251.10936
0.628,250.348419
0.629,254.914047
0.63,286.112488
0.631,324.920288
0.632,335.573425
0.633,369.815613
0.634,397.209351
0.635,452.757782
0.636,426.885925
0.637,387.317169
0.638,372.859344
0.639,352.314026
0.64,282.3078
0.641,257.957794
0.642,261.762482
0.643,267.08905
0.644,275.459351
0.645,302.853119
0.646,339.378113
0.647,397.970276
0.648,430.690613
0.649,452.757782
0.65,436.778107
0.651,410.906219
0.652,394.165588
0.653,356.879669
0.654,334.051544
0.655,301.331238
0.656,300.570282
0.657,285.351532
0.658,315.028107
0.659,336.334351
0.66,383.512482
0.661,399.492157
0.662,405.579651
0.663,423.081238
0.664,401.774963
0.665,363.728088
0.666,337.856232
0.667,339.378113
0.668,327.203094
0.669,300.570282
0.67,289.156219
0.671,324.920288
0.672,331.007782
0.673,362.967163
0.674,383.512482
0.675,359.162476
0.676,397.209351
0.677,397.209351
0.678,363.728088
0.679,352.314026
0.68,340.899963
0.681,312.7453
0.682,283.829681
0.683,280.785919
0.684,278.503113
0.685,304.374969
0.686,349.270294
0.687,371.337463
0.688,388.078094
0.689,395.687469
0.69,401.014038
0.691,378.946838
0.692,371.337463
0.693,337.856232
0.694,298.287476
0.695,313.506226
0.696,290.678101
0.697,296.765594
0.698,329.485931
0.699,343.943726
0.7,349.270294
0.701,366.010925
0.702,391.882782
0.703,389.599976
0.704,377.424988
0.705,370.576538
0.706,353.835907
0.707,327.203094
0.708,322.637482
0.709,284.590607
0.71,301.331238
0.711,321.115601
0.712,345.465607
0.713,329.485931
0.714,384.273407
0.715,413.189026
0.716,423.081238
0.717,419.27655
0.718,383.512482
0.719,355.357788
0.72,350.792175
0.721,306.657806
0.722,301.331238
0.723,286.873413
0.724,317.310913
0.725,303.614044
0.726,295.243744
0.727,302.853119
0.728,341.660919
0.729,391.121857
0.73,422.320282
0.731,408.623413
0.732,401.014038
0.733,373.6203
0.734,328.724976
0.735,344.704651
0.736,287.634369
0.737,282.3078
0.738,270.132782
0.739,299.809357
0.74,294.482788
0.741,322.637482
0.742,348.509338
0.743,374.381226
0.744,347.748413
0.745,358.40155
0.746,372.098419
0.747,361.445282
0.748,341.660919
0.749,337.095306
0.75,330.246857
0.751,308.179657
0.752,302.853119
0.753,283.068726
0.754,310.462494
0.755,325.681244
0.756,353.835907
0.757,357.640594
0.758,365.249969
0.759,350.792175
0.76,349.270294
0.761,381.990601
0.762,349.270294
0.763,331.768738
0.764,318.071869
0.765,312.7453
0.766,285.351532
0.767,285.351532
0.768,314.267181
0.769,328.724976
0.77,331.768738
0.771,349.270294
0.772,357.640594
0.773,372.098419
0.774,378.946838
0.775,369.054657
0.776,343.1828
0.777,312.7453
0.778,303.614044
0.779,299.048431
0.78,286.873413
0.781,309.701538
0.782,292.960907
0.783,328.724976
0.784,326.442169
0.785,355.357788
0.786,382.751526
0.787,397.209351
0.788,394.165588
0.789,378.946838
0.79,373.6203
0.791,331.007782
0.792,293.721863
0.793,320.354675
0.794,316.549988
0.795,277.742157
0.796,294.482788
0.797,307.418732
0.798,325.681244
0.799,346.987488
0.8,377.424988
0.801,372.098419
0.802,356.118713
0.803,360.684357
0.804,346.226532
0.805,344.704651
0.806,329.485931
0.807,304.374969
0.808,296.765594
0.809,304.374969
0.81,273.937469
0.811,270.893738
0.812,327.96405
0.813,346.226532
0.814,353.074982
0.815,366.010925
0.816,380.468719
0.817,367.532776
0.818,375.142151
0.819,362.967163
0.82,328.724976
0.821,293.721863
0.822,283.829681
0.823,251.8703
0.824,257.957794
0.825,283.829681
0.826,317.310913
0.827,314.267181
0.828,345.465607
0.829,371.337463
0.83,395.687469
0.831,383.512482
0.832,375.903107
0.833,369.054657
0.834,313.506226
0.835,293.721863
0.836,257.957794
0.837,240.456238
0.838,264.806244
0.839,276.220306
0.84,275.459351
0.841,302.092163
0.842,310.462494
0.843,349.270294
0.844,386.556213
0.845,418.515594
0.846,397.209351
0.847,384.273407
0.848,329.485931
0.849,287.634369
0.85,292.960907
0.851,268.610931
0.852,285.351532
0.853,281.546844
0.854,302.853119
0.855,336.334351
0.856,335.573425
0.857,357.640594
0.858,368.293732
0.859,339.378113
0.86,346.226532
0.861,320.354675
0.862,310.462494
0.863,286.112488
0.864,305.896851
0.865,326.442169
0.866,300.570282
0.867,289.156219
0.868,284.590607
0.869,311.984344
0.87,327.96405
0.871,358.40155
0.872,346.226532
0.873,354.596863
0.874,357.640594
0.875,306.657806
0.876,317.310913
0.877,295.243744
0.878,296.004669
0.879,283.068726
0.88,294.482788
0.881,291.439056
0.882,296.004669
0.883,315.789032
0.884,355.357788
0.885,352.314026
0.886,353.835907
0.887,375.903107
0.888,366.771851
0.889,353.074982
0.89,315.028107
0.891,304.374969
0.892,303.614044
0.893,273.937469
0.894,276.220306
0.895,254.914047
0.896,271.654663
0.897,303.614044
0.898,340.899963
0.899,324.920288
0.9,339.378113
0.901,319.593719
0.902,351.553101
0.903,366.771851
0.904,332.529663
0.905,325.681244
0.906,304.374969
0.907,285.351532
0.908,265.567169
0.909,258.718719
0.91,277.742157
0.911,280.785919
0.912,298.287476
0.913,297.52655
0.914,306.657806
0.915,340.899963
0.916,370.576538
0.917,371.337463
0.918,356.879669
0.919,337.095306
0.92,315.028107
0.921,267.08905
0.922,269.371857
0.923,273.176544
0.924,273.176544
0.925,268.610931
0.926,285.351532
0.927,294.482788
0.928,289.156219
0.929,333.290619
0.93,359.162476
0.931,378.946838
0.932,330.246857
0.933,314.267181
0.934,324.159363
0.935,329.485931
0.936,302.853119
0.937,300.570282
0.938,302.092163
0.939,296.004669
0.94,283.068726
0.941,263.284363
0.942,252.631241
0.943,273.937469
0.944,288.395294
0.945,331.007782
0.946,315.028107
0.947,331.007782
0.948,375.142151
0.949,394.926544
0.95,342.421844
0.951,335.573425
0.952,319.593719
0.953,283.068726
0.954,246.543732
0.955,242.739044
0.956,248.826553
0.957,292.960907
0.958,319.593719
0.959,337.856232
0.96,337.095306
0.961,343.943726
0.962,370.576538
0.963,375.142151
0.964,362.967163
0.965,321.876556
0.966,301.331238
0.967,250.348419
0.968,213.823425
0.969,213.062485
0.97,245.021866
0.971,284.590607
0.972,301.331238
0.973,323.398407
0.974,340.899963
0.975,369.054657
0.976,389.599976
0.977,382.751526
0.978,355.357788
0.979,327.203094
0.98,319.593719
0.981,274.698425
0.982,227.520294
0.983,238.934357
0.984,242.739044
0.985,264.806244
0.986,286.873413
0.987,297.52655
0.988,288.395294
0.989,314.267181
0.99,341.660919
0.991,378.185913
0.992,359.162476
0.993,313.506226
0.994,321.876556
0.995,283.068726
0.996,275.459351
0.997,284.590607
0.998,276.981232
0.999,273.937469
1,314.267181
1.001,311.223419
1.002,278.503113
1.003,274.698425
1.004,308.179657
1.005,321.876556
1.006,313.506226
1.007,292.199982
1.008,289.156219
1.009,297.52655
1.01,324.920288
1.011,311.223419
1.012,303.614044
1.013,315.789032
1.014,311.223419
1.015,283.829681
1.016,259.479675
1.017,267.849976
1.018,268.610931
1.019,269.371857
1.02,284.590607
1.021,290.678101
1.022,296.765594
1.023,330.246857
1.024,355.357788
1.025,338.617157
1.026,327.96405
1.027,316.549988
1.028,310.462494
1.029,279.264038
1.03,247.304672
1.031,280.785919
1.032,283.829681
1.033,280.024994
1.034,279.264038
1.035,273.176544
1.036,268.610931
1.037,276.981232
1.038,325.681244
1.039,335.573425
1.04,345.465607
1.041,346.226532
1.042,331.768738
1.043,319.593719
1.044,300.570282
1.045,327.96405
1.046,299.809357
1.047,282.3078
1.048,277.742157
1.049,268.610931
1.05,240.456238
1.051,238.173416
1.052,305.135925
1.053,316.549988
1.054,323.398407
1.055,335.573425
1.056,374.381226
1.057,349.270294
1.058,367.532776
1.059,340.899963
1.06,308.179657
1.061,278.503113
1.062,280.024994
1.063,245.782791
1.064,212.301544
1.065,235.89061
1.066,283.829681
1.067,297.52655
1.068,307.418732
1.069,349.270294
1.07,348.509338
1.071,375.142151
1.072,375.903107
1.073,353.074982
1.074,316.549988
1.075,290.678101
1.076,266.328094
1.077,232.085922
1.078,177.298431
1.079,206.21405
1.08,261.001556
1.081,311.984344
1.082,317.310913
1.083,337.095306
1.084,382.751526
1.085,391.882782
1.086,369.054657
1.087,344.704651
1.088,292.960907
1.089,262.523407
1.09,246.543732
1.091,200.887482
1.092,196.321869
1.093,209.257797
1.094,264.045288
1.095,301.331238
1.096,343.1828
1.097,375.903107
1.098,407.862488
1.099,426.885925
1.1,413.189026
1.101,364.489044
1.102,302.853119
1.103,264.045288
1.104,215.345306
1.105,169.689056
1.106,146.099991
1.107,185.668732
1.108,264.806244
1.109,302.092163
1.11,324.159363
1.111,364.489044
1.112,421.559357
1.113,459.606232
1.114,421.559357
1.115,384.273407
1.116,337.856232
1.117,314.267181
1.118,259.479675
1.119,194.799988
1.12,172.732803
1.121,173.493744
1.122,216.867172
1.123,238.173416
1.124,254.153107
1.125,289.156219
1.126,308.940613
1.127,359.162476
1.128,396.448425
1.129,413.949982
1.13,367.532776
1.131,356.879669
1.132,357.640594
1.133,292.199982
1.134,248.826553
1.135,200.126556
1.136,209.257797
1.137,200.887482
1.138,212.301544
1.139,219.910919
1.14,239.695297
1.141,280.024994
1.142,318.832794
1.143,369.815613
1.144,383.512482
1.145,404.818726
1.146,408.623413
1.147,409.384338
1.148,341.660919
1.149,280.024994
1.15,237.412491
1.151,209.257797
1.152,178.059357
1.153,165.123428
1.154,162.840622
1.155,187.190613
1.156,213.062485
1.157,276.220306
1.158,337.856232
1.159,410.906219
1.16,490.043732
1.161,522.764038
1.162,490.043732
1.163,380.468719
1.164,297.52655
1.165,235.129669
1.166,185.668732
1.167,156.753113
1.168,133.164047
1.169,148.382797
1.17,153.709366
1.171,199.365616
1.172,223.715607
1.173,280.785919
1.174,368.293732
1.175,471.781219
1.176,505.262482
1.177,485.478088
1.178,407.862488
1.179,355.357788
1.18,280.024994
1.181,218.389053
1.182,181.864044
1.183,153.709366
1.184,133.924988
1.185,134.685928
1.186,181.864044
1.187,216.106232
1.188,251.10936
1.189,337.095306
1.19,428.407776
1.191,457.323395
1.192,506.784332
1.193,485.478088
1.194,422.320282
1.195,316.549988
1.196,254.914047
1.197,194.799988
1.198,147.621872
1.199,129.35936
1.2,117.184364
1.201,143.817184
1.202,165.123428
1.203,238.934357
1.204,298.287476
1.205,341.660919
1.206,430.690613
1.207,469.498413
1.208,439.060913
1.209,392.643738
1.21,359.923401
1.211,308.940613
1.212,245.021866
1.213,186.429672
1.214,168.928116
1.215,154.470306
1.216,152.187485
1.217,170.449982
1.218,219.149994
1.219,231.324982
1.22,283.068726
1.221,333.290619
1.222,410.906219
1.223,419.27655
1.224,436.778107
1.225,404.0578
1.226,329.485931
1.227,240.456238
1.228,204.692169
1.229,189.473419
1.23,159.79686
1.231,146.860931
1.232,159.035934
1.233,182.624985
1.234,241.217178
1.235,260.240601
1.236,308.940613
1.237,366.010925
1.238,423.081238
1.239,443.626526
1.24,418.515594
1.241,369.054657
1.242,300.570282
1.243,233.607803
1.244,175.77655
1.245,159.035934
1.246,155.992172
1.247,153.709366
1.248,157.514053
1.249,191.756241
1.25,244.260925
1.251,272.415619
1.252,322.637482
1.253,404.0578
1.254,444.387482
1.255,433.734344
1.256,405.579651
1.257,346.226532
1.258,280.024994
1.259,217.628113
1.26,177.298431
1.261,176.537491
1.262,150.665619
1.263,163.601547
1.264,176.537491
1.265,212.301544
1.266,227.520294
1.267,266.328094
1.268,334.051544
1.269,394.926544
1.27,405.579651
1.271,401.014038
1.272,381.990601
1.273,331.007782
1.274,263.284363
1.275,201.648422
1.276,190.23436
1.277,163.601547
1.278,169.689056
1.279,173.493744
1.28,186.429672
1.281,217.628113
1.282,233.607803
1.283,268.610931
1.284,310.462494
1.285,393.404663
1.286,406.340607
1.287,400.253113
1.288,375.903107
1.289,311.984344
1.29,254.153107
1.291,190.9953
1.292,170.449982
1.293,164.362488
1.294,162.840622
